ward,gap_index,pt_index,gap_band,stop_gap,shelter_gap,hub_gap,density_gap,walk_gap,mean_walk_min,area_km2,stop_count,shelter_count,hub_count,stops_per_km2,median_walk_min,p90_walk_min,mean_network_m,pct_samples_within_5min,pct_samples_within_10min,mrts_station_count,cmrl_hub_count,railway_station_count,nearest_mrts_m,nearest_cmrl_m,nearest_railway_m
188,37,63.0,moderate,8,0,15,10,4,7.6,3.423,8,5,0,2.34,7.4,13.5,611.5,32.9,67.1,0,0,0,2083.2,4451.2,2098.4
47,37,63.0,moderate,14,6,15,2,0,4.0,0.624,6,1,0,9.62,3.9,6.8,320.8,70.4,100.0,0,0,0,677.9,2818.6,662.0
97,37,63.0,moderate,14,6,15,2,0,3.8,0.742,6,1,0,8.09,3.3,6.6,306.9,70.6,100.0,0,0,0,1652.7,1416.0,1643.3
198,36,64.0,moderate,3,0,15,10,8,8.9,6.3,11,11,0,1.75,9.2,14.1,712.4,20.5,57.3,0,0,0,6273.8,7764.2,6307.9
66,36,64.0,moderate,14,0,15,7,0,4.6,1.031,5,4,0,4.85,4.5,7.6,364.1,58.0,100.0,0,0,0,1971.8,4723.0,1959.8
69,36,64.0,moderate,14,0,15,7,0,3.8,1.049,5,2,0,4.77,3.7,6.5,305.5,65.2,100.0,0,0,1,683.5,3521.9,735.9
90,36,64.0,moderate,14,0,15,7,0,5.5,1.084,5,2,0,4.61,4.9,10.6,437.6,50.0,86.5,0,0,0,3428.2,911.7,1797.0
119,35,65.0,moderate,0,20,15,0,0,2.9,1.387,24,1,0,17.3,2.8,5.3,235.0,85.3,100.0,0,0,0,820.1,1942.8,811.5
128,35,65.0,moderate,0,20,15,0,0,2.8,1.597,25,1,0,15.65,2.7,5.0,226.6,90.1,100.0,0,0,0,4284.4,3086.6,4289.2
175,35,65.0,moderate,0,20,15,0,0,3.3,1.431,18,1,0,12.58,3.2,6.1,265.4,81.0,100.0,0,0,0,1366.1,1964.3,1350.9
79,35,65.0,moderate,3,13,15,4,0,5.0,2.092,12,1,0,5.74,4.7,9.3,402.6,54.0,95.0,0,0,0,2008.7,7610.2,2041.0
180,34,66.0,moderate,8,0,15,7,4,7.3,1.82,8,6,0,4.4,7.3,12.8,587.7,31.0,72.6,0,0,0,1454.1,1960.2,1393.2
3,34,66.0,moderate,0,25,5,4,0,4.9,3.161,17,0,1,5.38,4.1,8.9,392.0,62.7,92.0,1,0,0,1109.4,6589.8,2003.2
4,34,66.0,moderate,0,25,5,4,0,4.5,2.08,15,0,1,7.21,4.4,8.8,362.1,60.8,93.8,1,0,1,657.5,5041.6,725.9
197,33,67.0,moderate,0,0,15,10,8,8.7,8.473,16,8,0,1.89,8.8,14.0,698.1,23.0,62.6,0,0,0,9698.7,10656.6,9731.8
24,33,67.0,moderate,3,0,15,7,8,8.3,2.712,10,4,0,3.69,7.1,17.2,665.8,37.9,64.5,0,0,0,5701.5,5987.3,5695.5
43,33,67.0,moderate,3,13,15,2,0,4.2,0.992,11,1,0,11.09,3.3,7.1,333.9,75.0,95.8,0,0,0,1350.2,3827.7,1329.3
8,33,67.0,moderate,14,0,15,4,0,3.7,0.724,5,2,0,6.91,3.1,6.4,295.6,77.1,100.0,0,0,0,1451.9,4767.5,1467.2
174,32,68.0,moderate,0,13,15,4,0,5.2,3.463,25,2,0,7.22,4.4,11.2,419.9,57.8,85.1,0,0,0,2021.4,3797.6,2001.2
186,32,68.0,moderate,0,13,15,4,0,5.2,2.385,14,2,0,5.87,4.9,9.1,419.9,51.4,94.6,0,0,0,775.6,3287.6,758.4
195,32,68.0,moderate,0,13,15,4,0,5.3,2.489,15,2,0,6.03,4.1,12.2,423.2,62.4,87.2,0,0,0,4346.6,5345.9,4377.8
25,32,68.0,moderate,0,13,15,4,0,5.7,3.982,23,3,0,5.78,5.0,10.7,457.5,50.5,89.4,0,0,0,4757.7,4699.6,4752.7
37,32,68.0,moderate,3,0,15,10,4,6.6,4.1,12,5,0,2.93,5.5,12.8,526.4,44.9,75.3,0,0,0,1711.0,3480.0,1731.3
139,31,69.0,moderate,3,13,15,0,0,2.9,0.724,11,1,0,15.19,2.8,4.6,235.9,94.1,100.0,0,0,0,1221.3,1696.1,1219.6
56,31,69.0,moderate,14,0,15,2,0,2.8,0.567,6,7,0,10.58,2.8,4.3,224.8,96.2,100.0,0,0,0,825.2,732.6,842.7
78,31,69.0,moderate,14,0,15,2,0,3.4,0.672,6,2,0,8.93,3.5,5.6,273.6,76.7,100.0,0,0,0,1322.6,1314.5,1483.2
88,31,69.0,moderate,3,6,15,7,0,5.5,2.272,11,2,0,4.84,4.5,11.8,442.2,56.1,87.9,0,0,0,1657.2,2102.7,1162.0
196,30,70.0,moderate,8,0,15,7,0,5.6,1.552,7,3,0,4.51,4.9,9.7,450.1,51.4,90.3,0,0,0,5133.3,6207.7,5165.6
26,30,70.0,moderate,8,0,15,7,0,5.3,2.153,8,3,0,3.72,4.9,8.6,425.4,51.5,97.0,0,0,0,5715.9,3389.7,5687.2
84,30,70.0,moderate,0,13,15,2,0,4.1,3.133,28,3,0,8.94,3.8,7.4,326.8,62.1,99.3,0,0,1,1226.0,3937.0,1192.8
99,30,70.0,moderate,0,25,5,0,0,2.5,1.299,17,0,1,13.09,2.4,4.8,203.8,89.7,100.0,1,0,1,1059.8,1809.1,1074.5
7,29,71.0,moderate,0,6,5,10,8,9.1,7.678,13,2,1,1.69,7.7,16.9,725.5,31.2,63.0,1,0,0,1599.4,2001.3,1587.8
113,28,72.0,moderate,0,13,15,0,0,3.0,1.69,22,2,0,13.02,2.8,4.9,236.7,91.0,100.0,0,0,0,1729.5,1218.6,1733.8
32,28,72.0,moderate,0,6,15,7,0,5.7,4.966,20,4,0,4.03,5.3,10.0,458.3,45.6,89.9,0,0,0,3224.5,6619.5,3250.5
92,28,72.0,moderate,0,13,15,0,0,3.4,1.04,14,2,0,13.46,3.4,5.8,273.7,75.6,100.0,0,0,0,3562.4,1998.7,3004.4
105,27,73.0,moderate,8,0,15,4,0,4.0,1.312,8,4,0,6.1,3.7,6.9,317.8,66.1,100.0,0,0,0,2378.9,1948.0,2382.6
108,27,73.0,moderate,8,0,15,4,0,4.9,1.53,8,12,0,5.23,4.8,8.1,394.3,51.4,92.9,0,0,0,263.7,906.8,307.4
55,27,73.0,moderate,14,6,5,2,0,5.1,0.574,5,1,1,8.71,5.5,7.8,405.6,36.4,100.0,0,1,0,1013.2,802.9,1038.3
71,27,73.0,moderate,0,20,5,2,0,2.6,1.534,14,1,1,9.13,2.6,4.9,207.5,91.7,100.0,1,0,1,354.8,4075.9,330.7
91,27,73.0,moderate,8,0,15,4,0,3.9,1.216,9,9,0,7.4,3.6,7.1,308.9,75.0,98.2,0,0,0,3886.1,2419.1,3594.0
115,25,75.0,moderate,8,0,15,2,0,2.9,0.852,7,6,0,8.22,3.0,4.8,228.3,92.3,100.0,0,0,0,1577.7,2409.9,1578.6
121,25,75.0,moderate,0,25,0,0,0,2.4,0.924,14,0,2,15.15,2.3,4.7,190.0,95.2,100.0,2,0,2,464.7,2676.2,454.7
140,25,75.0,moderate,8,0,15,2,0,3.6,0.761,8,5,0,10.51,3.2,5.9,285.9,79.4,97.1,0,0,0,783.9,1069.3,844.8
141,25,75.0,moderate,8,0,15,2,0,3.4,0.778,9,4,0,11.57,3.4,6.1,275.5,76.5,100.0,0,0,0,1043.8,819.5,1069.8
151,25,75.0,moderate,0,6,15,4,0,4.5,1.664,13,3,0,7.81,4.2,8.2,358.2,63.0,97.5,0,0,0,5305.1,4768.7,5306.5
163,25,75.0,moderate,8,0,15,2,0,3.3,0.759,8,2,0,10.54,3.7,4.9,261.9,91.4,100.0,0,0,0,637.2,1495.3,727.9
185,25,75.0,moderate,8,0,15,2,0,3.3,0.946,8,2,0,8.46,3.2,5.2,260.5,89.1,100.0,0,0,0,823.3,2539.6,712.9
39,25,75.0,moderate,8,0,15,2,0,2.8,1.042,9,4,0,8.64,2.8,5.4,228.0,87.8,100.0,0,0,0,830.7,4315.7,1907.4
53,25,75.0,moderate,8,0,15,2,0,3.9,0.854,9,10,0,10.54,3.8,7.0,312.4,62.5,100.0,0,0,0,726.3,1935.0,672.2
